,question,human_answer,method,model_answer,context,exec_time
44,What course is most similar to natural language processing (TDDE09)?,text mining (TDDE16),RAG," The most similar course to natural language processing (TDDE09) would be ""Introduction to Language Technology"" (TDDE17), which is also focused on the analysis and interpretation of natural languages. However, it is important to note that both courses are part of different main fields of study, with TDDE09 being primarily associated with Information Technology, Computer Science and Engineering, Computer Science, while TDDE17 is more related to Information Technology.","Course: natural language processing (tdde09) (tdde09)
Course code:
tdde09

Course title:
natural language processing (tdde09)

Main field of study:
Information Technology, Computer Science and Engineering, Computer Science

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Computer Science

Prerequisites:
 - discrete mathematics, calculus, linear algebra, probability theory
 - good knowledge of programming, data structures, and algorithms
 - machine learning

The lab series for the course uses Python.
Course: introduction to language technology (tdde17) (tdde17)
Course code:
tdde17

Course title:
introduction to language technology (tdde17)

Main field of study:
Information Technology

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Information Technology, M Sc in Engineering

Prerequisites:
 - discrete mathematics
 - basic programming

Intended learning outcomes:

Language technology is technology for the analysis and interpretation of natural language, a key component of smart search engines, personal digital assistants, and many other innovative applications. The goal of this course is to give an introduction to language technology as an application area, as well as to its basic methods. The course focuses on methods that process text.
Course: natural language processing (729a27) (729a27)
Course code:
729a27

Course title:
natural language processing (729a27)

Main field of study:
Cognitive Science

Course level:
Second cycle

Advancement level:
A1N

Course offered for:
 - Master Programme in Cognitive Science

Entry requirements:

For admission to the course, the specific entry requirements that apply for the Master’s Programme in Cognitive Science must be met. In addition, the student must have successfully completed a course in language technology worth at least 6 ECTS credits, or courses in programming, data structures, and algorithms worth at least 18 ECTS credits.",92432.54
45,What course is most similar to calculus in one variable 2 (TATA42)?,calculus in one variable 1 (TATA41),RAG, The course most similar to Calculus in One Variable 2 (TATA42) would likely be Calculus in One Variable 1 (the prerequisite for TATA42).,"Course: calculus in one and several variables (tata91) (tata91)
Course code:
tata91

Course title:
calculus in one and several variables (tata91)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering

Prerequisites:
Calculus in one variable 1, Linear Algebra

Intended learning outcomes:

Gain familiarity with mathematical concepts, reasoning and relationships in calculus in one and several variables, and gain the calculation and problem solving skills needed for further studies. After completing this course you should be able to
 - cite, explain and use the definitions and theorems of the course’s key concepts
 - solve problems and verify that results are correct or resonable
Course: calculus, several variables (tata83) (tata83)
Course code:
tata83

Course title:
calculus, several variables (tata83)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor of Science in Engineering Electronics
 - Master of Science in Chemical Biology
 - Master of Science in Engineering Biology
 - Bachelor of Science in Applied Physics

Prerequisites:
Linear Algebra, Calculus, one variable

Intended learning outcomes:

The aim is that the student shall become familiar with the mathematical concepts, the reasoning, and the relations that constitute several variable calculus, and also to acquire computitional and problem solving skills, to the extent required for further studies. After completing the course, the student should be able to
 - explain basic concepts and theorems for calculus in several variables.
 - identify and apply relevant methods to solve problems in calculus in several variables.
Course: calculus in several variables (tata69) (tata69)
Course code:
tata69

Course title:
calculus in several variables (tata69)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Energy - Environment - Management
 - Master of Science in Mechanical Engineering
 - Master of Science in Design and Product Development

Prerequisites:
Linear algebra and Calculus

Intended learning outcomes:

After completing the course, the student should be able to
 - choose and apply methods to problems within all parts of the course, as they are described in the course content
 - present and justify solutions to tasks within the course content using relevant concepts and clear reasoning",94587.76
46,What course is most similar to calculus in one variable 1 (TATA41)?,calculus in one variable 2 (TATA42),RAG, The most similar course to Calculus in One Variable 1 (TATA41) would be Calculus in One Variable (TATA40).,"Course: calculus in one and several variables (tata91) (tata91)
Course code:
tata91

Course title:
calculus in one and several variables (tata91)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering

Prerequisites:
Calculus in one variable 1, Linear Algebra

Intended learning outcomes:

Gain familiarity with mathematical concepts, reasoning and relationships in calculus in one and several variables, and gain the calculation and problem solving skills needed for further studies. After completing this course you should be able to
 - cite, explain and use the definitions and theorems of the course’s key concepts
 - solve problems and verify that results are correct or resonable
Course: calculus, several variables (tata83) (tata83)
Course code:
tata83

Course title:
calculus, several variables (tata83)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor of Science in Engineering Electronics
 - Master of Science in Chemical Biology
 - Master of Science in Engineering Biology
 - Bachelor of Science in Applied Physics

Prerequisites:
Linear Algebra, Calculus, one variable

Intended learning outcomes:

The aim is that the student shall become familiar with the mathematical concepts, the reasoning, and the relations that constitute several variable calculus, and also to acquire computitional and problem solving skills, to the extent required for further studies. After completing the course, the student should be able to
 - explain basic concepts and theorems for calculus in several variables.
 - identify and apply relevant methods to solve problems in calculus in several variables.
Course: calculus in several variables (tata69) (tata69)
Course code:
tata69

Course title:
calculus in several variables (tata69)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Energy - Environment - Management
 - Master of Science in Mechanical Engineering
 - Master of Science in Design and Product Development

Prerequisites:
Linear algebra and Calculus

Intended learning outcomes:

After completing the course, the student should be able to
 - choose and apply methods to problems within all parts of the course, as they are described in the course content
 - present and justify solutions to tasks within the course content using relevant concepts and clear reasoning",93142.91
47,"What course is most similar to probability, first course (TAMS14)?","statistics, first course (TAMS24)",RAG," There isn't a direct equivalent course mentioned for TAMS14. However, the closest course would be ""probability theory, first course (tams13)"" which shares a similar focus on probability theory.","Course: statistical theory, advanced course (tams17) (tams17)
Course code:
tams17

Course title:
statistical theory, advanced course (tams17)

Main field of study:
Mathematics, Applied Mathematics

Course level:
Second cycle

Advancement level:
A1X

Specific information:

The course is available every second year, uneven years.

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Bachelor's Programme in Mathematics
 - Master's Programme in Mathematics

Prerequisites:

Basic courses in probability theory and statistics. An advanced course in probability theory is helpful, but not required.

Intended learning outcomes:
Course: probability theory, second course (tams46) (tams46)
Course code:
tams46

Course title:
probability theory, second course (tams46)

Main field of study:
Mathematics, Applied Mathematics

Course level:
Second cycle

Advancement level:
A1X

Specific information:

The course is offered every second year, even years.

Course offered for:
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Bachelor's Programme in Mathematics
 - Master's Programme in Mathematics

Prerequisites:
Linear algebra and multivariate analysis. Basic courses in probability and statistics.
Course: probability theory and bayesian networks (tams22) (tams22)
Course code:
tams22

Course title:
probability theory and bayesian networks (tams22)

Main field of study:
Mathematics, Applied Mathematics

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Computer Science
 - Master's Programme in Mathematics

Prerequisites:

A first course in probability theory and statistics.",97717.53
48,"What course is most similar to statistics, first course (TAMS24)?","probability, first course (TAMS14)",RAG," The course most similar to ""Statistics, First Course (TAMS24)"" is ""Mathematical Statistics (TAMS27).""","Course: mathematical statistics (tams27) (tams27)
Course code:
tams27

Course title:
mathematical statistics (tams27)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Computer Science and Engineering, M Sc in Engineering

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:
Series, Integral calculus (one and two variables), Linear algebra, differential calculus.
Course: multivariate statistical methods (tams39) (tams39)
Course code:
tams39

Course title:
multivariate statistical methods (tams39)

Main field of study:
Mathematics, Applied Mathematics

Course level:
Second cycle

Advancement level:
A1X

Specific information:

The course is available every second year, uneven years.

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Biomedical Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Biomedical Engineering
 - Master's Programme in Mathematics

Prerequisites:
Linear Algebra, Calculus of Several Variables, a course in probability, a course in statistics

Intended learning outcomes:
Course: statistics, first course (tams24) (tams24)
Course code:
tams24

Course title:
statistics, first course (tams24)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:
Calculus, matrix algebra and a first course in probability theory.",74374.67
49,"What course is most similar to linear algebra, honours course (TATA53)?",linear algebra (TATA24),RAG," The course most similar to Linear Algebra, Honours Course (TATA53) would likely be ""Linear Algebra"" itself, which has the course code TATA24. Both courses are focused on the foundational principles of linear algebra, but TATA53 is an honours course that may have a more advanced curriculum and require higher-level prerequisites.","Course: linear algebra with geometry (tata67) (tata67)
Course code:
tata67

Course title:
linear algebra with geometry (tata67)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Energy - Environment - Management
 - Master of Science in Mechanical Engineering
 - Master of Science in Design and Product Development

Prerequisites:
Lycée mathematics and physics (natural sciences or technical programmes).

Intended learning outcomes:

That you should be able to provide yourself with the basic knowledge in linear algebra whichneeded in other courses within the program. After completing the course, you should be able to:
 - work with concepts and solve tasks in the areas described in PartA of the course content.
 - perform calculations and report solutions to tasks within Part B ofthe course.

Course content:
Course: linear algebra (tata24) (tata24)
Course code:
tata24

Course title:
linear algebra (tata24)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Computer Science and Engineering
 - Bachelor's Programme in Mathematics
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:

Admisson to the course requires , as well as general university requirements, secondary school mathematics (or equivalent).
Course: linear algebra, honours course (tata53) (tata53)
Course code:
tata53

Course title:
linear algebra, honours course (tata53)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Information Technology
 - Master of Science in Biomedical Engineering
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Bachelor's Programme in Mathematics
 - Master of Science in Engineering Mathematics

Prerequisites:
A basic course in linear algebra.",108951.50
50,What course is most similar to linear algebra (TATA24)?,"linear algebra, honours course (TATA53)",RAG," The most similar course to linear algebra (TATA24) is linear algebra (TATA31), which also focuses on the main field of study: Mathematics, Applied Mathematics. However, TATA31 is offered for Master of Science in Industrial Engineering and Management - International and Master of Science in Industrial Engineering and Management programs.","Course: linear algebra (tata24) (tata24)
Course code:
tata24

Course title:
linear algebra (tata24)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Computer Science and Engineering
 - Bachelor's Programme in Mathematics
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:

Admisson to the course requires , as well as general university requirements, secondary school mathematics (or equivalent).
Course: linear algebra (tata31) (tata31)
Course code:
tata31

Course title:
linear algebra (tata31)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Industrial Engineering and Management

Prerequisites:
Foundation course in Mathematics or equivalent
Course: linear algebra with geometry (tata67) (tata67)
Course code:
tata67

Course title:
linear algebra with geometry (tata67)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Energy - Environment - Management
 - Master of Science in Mechanical Engineering
 - Master of Science in Design and Product Development

Prerequisites:
Lycée mathematics and physics (natural sciences or technical programmes).

Intended learning outcomes:

That you should be able to provide yourself with the basic knowledge in linear algebra whichneeded in other courses within the program. After completing the course, you should be able to:
 - work with concepts and solve tasks in the areas described in PartA of the course content.
 - perform calculations and report solutions to tasks within Part B ofthe course.

Course content:",83934.49
51,What course is most similar to modern physics I (TFYA73)?,modern physics II (TFYA74),RAG," The course most similar to Modern Physics I (TFYA73) is Modern Physics (TFYA67). Both courses are first-cycle courses in the field of applied physics and physics, and they share similar prerequisites and intended learning outcomes.","Course: principles of physics in information technology (tfya94) (tfya94)
Course code:
tfya94

Course title:
principles of physics in information technology (tfya94)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Information Technology, M Sc in Engineering

Specific information:

The course can not be included in degree together with TFYA69.

Prerequisites:

Calculus in one and several variables, Models in physics.
Course: modern physics i (tfya73) (tfya73)
Course code:
tfya73

Course title:
modern physics i (tfya73)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International

Prerequisites:

Mathematics, Calculus, Linear algebra, Mechanics, Wave Motion, Electromagnetic Field Theory.

Intended learning outcomes:
Course: modern physics (tfya67) (tfya67)
Course code:
tfya67

Course title:
modern physics (tfya67)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Biomedical Engineering
 - Bachelor of Science in Applied Physics

Prerequisites:

Mathematics, Calculus, Linear algebra, Mechanics, Wave Motion, Optics and Electromagnetic Field Theory.

Intended learning outcomes:",73366.35
52,What course is most similar to modern physics II (TFYA74)?,modern physics I (TFYA74),RAG," The course most similar to Modern Physics II (TFYA74) is Modern Physics I (TFYA67). Both courses are part of the first-cycle program in Applied Physics and Physics, and they have overlapping prerequisites such as calculus, mechanics, wave motion, and electromagnetic field theory.","Course: principles of physics in information technology (tfya94) (tfya94)
Course code:
tfya94

Course title:
principles of physics in information technology (tfya94)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Information Technology, M Sc in Engineering

Specific information:

The course can not be included in degree together with TFYA69.

Prerequisites:

Calculus in one and several variables, Models in physics.
Course: modern physics (tfya67) (tfya67)
Course code:
tfya67

Course title:
modern physics (tfya67)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Biomedical Engineering
 - Bachelor of Science in Applied Physics

Prerequisites:

Mathematics, Calculus, Linear algebra, Mechanics, Wave Motion, Optics and Electromagnetic Field Theory.

Intended learning outcomes:
Course: modern physics ii (tfya74) (tfya74)
Course code:
tfya74

Course title:
modern physics ii (tfya74)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International

Prerequisites:
Calculus, Mechanics, Wave Motion and Electromagnetic Field Theory",78154.45
53,What course is most similar to engineering mechanics y (TMME12)?,engineering mechanics II (TMME04),RAG, The course most similar to Engineering Mechanics Y (TMME12) is Engineering Mechanics (tmme27). Both courses are part of the Mechanical Engineering program and focus on the principles and methods of classical mechanics.,"Course: musculoskeletal biomechanics and human movements (tmme67)
Course code:
tmme67

Course title:
musculoskeletal biomechanics and human movements

Main field of study:
Mechanical Engineering

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Design and Product Development
 - Master of Science in Energy - Environment - Management
 - Master of Science in Biomedical Engineering
 - Master of Science in Mechanical Engineering
 - Master's Programme in Biomedical Engineering
 - Master's Programme in Mechanical Engineering

Prerequisites:

Calculus, Linear Algebra and Mechanics (or corresponding physics course)

Intended learning outcomes:
Course: engineering mechanics (tfya16) (tfya16)
Course code:
tfya16

Course title:
engineering mechanics (tfya16)

Main field of study:
Biotechnology, Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Chemical Biology
 - Master of Science in Engineering Biology

Prerequisites:

Linear Algebra, Calculus

Intended learning outcomes:

The course gives an orientation to the students about basic relations in classical mechanics. After the course the student should be able to
 - treat basic mechanical
 - formulate, simplify and solve simple mechanical problems from different approaches, and verify its correctness through e.g. dimensional analysis

Course content:
Course: engineering mechanics (tmme27) (tmme27)
Course code:
tmme27

Course title:
engineering mechanics (tmme27)

Main field of study:
Mechanical Engineering

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Industrial Engineering and Management

Prerequisites:
Algebra, Calculus.

Intended learning outcomes:

The course familiarises students with the laws and methods of classical mechanics and practice in applying these. After the course the student isexpected to:
 - know and understand central concepts, models and methods of statics, particle dynamics and rigid body dynamics.
 - have acquired a systematic approach to the solution of engineering problems based on the chain idealization - mathematical formulation -interpretation of results.
 - be able to critically assess results of calculations, both with respect to the suitability of the model and its correct application.",96818.99
54,What course is most similar to engineering mechanics II (TMME04)?,engineering mechanics y (TMME12),RAG, The most similar course to Engineering Mechanics II (TMME04) is Engineering Mechanics (TMME62). Both courses are related to Mechanical Engineering and cover topics such as basic mechanical principles and problem-solving techniques.,"Course: engineering mechanics (tfya16) (tfya16)
Course code:
tfya16

Course title:
engineering mechanics (tfya16)

Main field of study:
Biotechnology, Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Chemical Biology
 - Master of Science in Engineering Biology

Prerequisites:

Linear Algebra, Calculus

Intended learning outcomes:

The course gives an orientation to the students about basic relations in classical mechanics. After the course the student should be able to
 - treat basic mechanical
 - formulate, simplify and solve simple mechanical problems from different approaches, and verify its correctness through e.g. dimensional analysis

Course content:
Course: musculoskeletal biomechanics and human movements (tmme67)
Course code:
tmme67

Course title:
musculoskeletal biomechanics and human movements

Main field of study:
Mechanical Engineering

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Design and Product Development
 - Master of Science in Energy - Environment - Management
 - Master of Science in Biomedical Engineering
 - Master of Science in Mechanical Engineering
 - Master's Programme in Biomedical Engineering
 - Master's Programme in Mechanical Engineering

Prerequisites:

Calculus, Linear Algebra and Mechanics (or corresponding physics course)

Intended learning outcomes:
Course: engineering mechanics (tmme62) (tmme62)
Course code:
tmme62

Course title:
engineering mechanics (tmme62)

Main field of study:
Mechanical Engineering

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Energy - Environment - Management

Prerequisites:
Algebra, Calculus.",77321.65
55,What course is most similar to oscillations and mechanical waves (TFYA81)?,optics - theory and application (TFYA84),RAG," The course most similar to oscillations and mechanical waves (TFYA81) is ""oscillations and mechanical waves (TFYA82).""","Course: oscillations and mechanical waves (tfya82) (tfya82)
Course code:
tfya82

Course title:
oscillations and mechanical waves (tfya82)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Biomedical Engineering, M Sc in Engineering

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:
Calculus in one variable. Linear algebra.
Course: oscillations and mechanical waves (tfya81) (tfya81)
Course code:
tfya81

Course title:
oscillations and mechanical waves (tfya81)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Applied Physics and Electrical Engineering - International, M Sc in Engineering
 - Applied Physics and Electrical Engineering, M Sc in Engineering

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:
Calculus in one variable. Linear algebra.
Course: mechanical waves (tfya83) (tfya83)
Course code:
tfya83

Course title:
mechanical waves (tfya83)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor's Programme in Physics and Nanoscience

Specific information:

The course is cancelled spring 2019.

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:
Calculus in one variable. Linear algebra.",72727.25
56,What course is most similar to optics - theory and application (TFYA84)?,oscillations and mechanical waves (TFYA81),RAG," Based on the given context, there are no direct courses mentioned that are most similar to ""optics - theory and application"" (TFYA84). However, some related courses include ""Modern optics"" (tfya97), ""Materials optics"" (tfya04), and ""Oscillations and mechanical waves"" (tfya82).","Course: modern optics (tfya97)
Course code:
tfya97

Course title:
modern optics

Main field of study:
Applied Physics, Physics

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Biomedical Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Materials Physics for Nano and Quantum Technology

Prerequisites:

Bachelor level mathematics and physics. In particular Calculus, Linear algebra, Electromagnetics, Wave physics and Optics.
Course: materials optics (tfya04) (tfya04)
Course code:
tfya04

Course title:
materials optics (tfya04)

Main field of study:
Applied Physics, Physics

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Physics and Nanoscience, Master's Programme
 - Materials Science and Nanotechnology, Master's Programme
 - Applied Physics and Electrical Engineering - International, M Sc in Engineering
 - Applied Physics and Electrical Engineering, M Sc in Engineering
 - Biomedical Engineering, Master's Programme

Specific information:

The course is temporarily suspended 2018.

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:

Basic courses in linear algebra and complex numbers

Intended learning outcomes:
Course: oscillations and mechanical waves (tfya82) (tfya82)
Grades:
Four-grade scale, LiU, U, 3, 4, 5

Other information:

Supplementary courses: The course content is relevant for several upcoming courses on the programme (Optics - Theory and Application, Electronics, Measurement technology, Biomedical Engineering, Mechanics, Electromagnetism, Medical Images, Modern Physics, Transform Theory, Signals and systems etc.). Materials optics, Optoelectronics.

Department:
Institutionen för fysik, kemi och biologi

Director of Studies or equivalent:
Magnus Johansson

Examiner:
Per Sandström

Course website and other links:

Education components:
Preliminary scheduled hours: 0 h
Recommended self-study hours: 107 h

Course literature:

Books:
 - Göran Jönsson,  Våglära och optik Teach Support  ISBN: 9789163781445  Chapter 1-10 is relevant to the course. The remaining part will be teached in TFYA84 that uses the same book

Other:
 - Other course material will be distributed through the Lisam-page for the course",117768.60
57,What course is most similar to machine learning (TDDE01)?,advanced machine learning (TDDE15),RAG," The most similar course to machine learning (TDDE01) would be deep learning (TDDE70), as both are part of the same main field of study, Information Technology, Computer Science and Engineering, and Computer Science, and are both offered at the second-cycle (Master's) level with an advancement level of A1X. Additionally, they share some prerequisites, such as basic machine learning and programming in Python.","Course: machine learning (tdde01) (tdde01)
Course code:
tdde01

Course title:
machine learning (tdde01)

Main field of study:
Information Technology, Computer Science and Engineering, Computer Science

Course level:
Second cycle

Advancement level:
A1X
Course: deep learning (tdde70)
Course code:
tdde70

Course title:
deep learning

Main field of study:
Information Technology, Computer Science and Engineering, Computer Science

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Biomedical Engineering
 - Master of Science in Computer Science and Engineering
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Information Technology
 - Master of Science in Applied Physics and Electrical Engineering - International

Prerequisites:

Calculus in one and several variables, linear algebra, statistics, optimization and programming. Basic machine learning (at least 6 credits) including artificial neural networks. Programming in Python and experience in programming for numerical problem solving and linear algebra (e.g. via NumPy, Matlab or Julia).

Intended learning outcomes:
Course: natural language processing (tdde09) (tdde09)
Course code:
tdde09

Course title:
natural language processing (tdde09)

Main field of study:
Information Technology, Computer Science and Engineering, Computer Science

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Computer Science

Prerequisites:
 - discrete mathematics, calculus, linear algebra, probability theory
 - good knowledge of programming, data structures, and algorithms
 - machine learning

The lab series for the course uses Python.",90796.26
58,What course is most similar to advanced machine learning (TDDE15)?,machine learning (TDDE01),RAG," The courses most similar to Advanced Machine Learning (TDDE15) are Machine Learning (TDDE01) and Artificial Intelligence (TDDCE17). Both of these courses are also part of the same main field of study, which is Computer Science and Engineering and Computer Science.","Course: advanced machine learning (tdde15) (tdde15)
Course code:
tdde15

Course title:
advanced machine learning (tdde15)

Main field of study:
Computer Science and Engineering, Computer Science

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Information Technology
 - Master of Science in Biomedical Engineering
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Mathematics
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Industrial Engineering and Management - International

Prerequisites:

Probability theory and Statistics; Bayesian Learning; Machine Learning; Mathematical analysis; Linear Algebra; Basic programming.

Intended learning outcomes:
Course: machine learning (tdde01) (tdde01)
Course code:
tdde01

Course title:
machine learning (tdde01)

Main field of study:
Information Technology, Computer Science and Engineering, Computer Science

Course level:
Second cycle

Advancement level:
A1X
Course: artificial intelligence (tddc17) (tddc17)
Course code:
tddc17

Course title:
artificial intelligence (tddc17)

Main field of study:
Computer Science and Engineering, Computer Science

Course level:
First cycle

Advancement level:
G2X

Specific information:

Can not be included in degree together with TNM096.

Incoming exchange students: Please note that the course is intended for students within the area of Computer Science or equivalent.",74091.09
